lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
790.0,-4.244334300000001e-05,-5.0379273700000015e-05,7.9359307e-06,3.7256586,3.49204,0.80466,6.43739,3.87523,0.00735,15.51162
800.0,-3.7741991e-05,-4.4612560400000004e-05,6.8705694000000016e-06,3.2335491,3.02302,0.70866,5.60369,3.3646,0.00757,13.15899
810.0,-3.3783612e-05,-3.97825399e-05,5.9989279e-06,2.8258455,2.63525,0.62894,4.88902,2.94203,0.00499,11.5988
820.0,-3.0396894e-05,-3.5685905000000004e-05,5.2890110000000015e-06,2.4867868,2.3142,0.56422,4.28271,2.59057,0.00316,10.25194
830.0,-2.7211618e-05,-3.19036113e-05,4.6919933e-06,2.1998875,2.03915,0.51641,3.77597,2.29289,0.00514,9.04109
840.0,-2.4528912e-05,-2.87758691e-05,4.2469571e-06,1.9598501,1.8056,0.4752,3.34915,2.04372,0.00629,8.19504
850.0,-2.2294637e-05,-2.62121377e-05,3.9175007e-06,1.7579816,1.6055,0.44901,2.98663,1.83436,0.00533,7.67794
860.0,-2.0419346e-05,-2.4075149e-05,3.655803e-06,1.5864991,1.43342,0.4241,2.68743,1.6564,0.00381,6.97319
870.0,-1.881436e-05,-2.22419987e-05,3.4276387e-06,1.4391811,1.28728,0.39474,2.43163,1.50304,0.00445,6.20744
880.0,-1.7397615000000002e-05,-2.0610243600000002e-05,3.2126286e-06,1.3107442,1.1619,0.36796,2.19634,1.36891,0.00184,5.44502
890.0,-1.6136407e-05,-1.91466644e-05,3.0102574e-06,1.1973521,1.0524,0.34379,2.00469,1.25012,0.0039,5.20116
900.0,-1.5206945e-05,-1.80785518e-05,2.8716067999999994e-06,1.1012782,0.95987,0.31775,1.83693,1.1494,0.0032,4.98544
