lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
710.0,-0.00017815365000000002,-0.000227502853,4.9349203e-05,20.001778,18.59444,3.59924,34.82099,20.31792,0.0219,71.76587
720.0,-0.00013921456,-0.00017443666900000002,3.5222109e-05,15.213626,14.14699,2.71519,26.49896,15.42775,0.00125,56.50802
730.0,-0.0001115089,-0.00013753617,2.602727e-05,11.883543,11.03477,2.08083,20.89288,12.02645,0.00289,42.36383
740.0,-9.2437674e-05,-0.000112565592,2.0127918e-05,9.5853766,8.88637,1.66869,16.78217,9.68763,0.0002,32.53664
750.0,-7.8165111e-05,-9.4199071e-05,1.603396e-05,7.8768263,7.29279,1.4028,13.74086,7.95685,0.00023,26.85056
760.0,-6.734387899999999e-05,-8.047760199999999e-05,1.3133723e-05,6.5804074,6.08878,1.16718,11.41149,6.64752,0.00298,22.31894
770.0,-5.835713000000001e-05,-6.917608900000001e-05,1.0818959e-05,5.5470242,5.13442,0.99383,9.58472,5.60552,0.0017,19.16858
780.0,-5.0834517e-05,-5.977895380000001e-05,8.944436800000003e-06,4.7199733,4.36846,0.85586,8.20319,4.77014,0.00063,16.47306
790.0,-4.459092400000001e-05,-5.2052719500000014e-05,7.4617955e-06,4.0496929,3.74092,0.73422,7.08344,4.09065,0.00063,14.21867
800.0,-3.9405547e-05,-4.5717571300000006e-05,6.3120243e-06,3.500952,3.22443,0.64941,6.12314,3.53316,3e-05,12.11596
810.0,-3.5085424e-05,-4.05040565e-05,5.4186325e-06,3.0480995,2.79687,0.56448,5.32656,3.07294,0.00024,10.71075
820.0,-3.1475264e-05,-3.61945567e-05,4.7192927e-06,2.6732714,2.44221,0.5019,4.63103,2.69243,0.00027,9.37442
830.0,-2.8129187000000006e-05,-3.226613240000001e-05,4.1369454000000005e-06,2.358018,2.14441,0.4579,4.05695,2.37311,0.00066,8.69269
840.0,-2.5301467e-05,-2.8999369500000002e-05,3.6979025e-06,2.0956609,1.89938,0.41771,3.60057,2.10837,0.0,8.28454
850.0,-2.2902289e-05,-2.6266355099999998e-05,3.3640661e-06,1.8750012,1.69514,0.37727,3.2074,1.8868,9e-05,7.61692
860.0,-2.0853337e-05,-2.3950112e-05,3.096775e-06,1.6878595,1.52123,0.35298,2.88217,1.69952,0.00027,6.82003
870.0,-1.9083284e-05,-2.19527909e-05,2.8695069000000007e-06,1.5276654,1.36977,0.33175,2.60015,1.53913,0.00093,5.97293
880.0,-1.7525428e-05,-2.02068874e-05,2.6814594e-06,1.3891126,1.23676,0.31134,2.33425,1.40014,0.00046,5.60525
890.0,-1.6165037e-05,-1.86954002e-05,2.5303632000000003e-06,1.2680181,1.11901,0.29592,2.14188,1.27835,0.00217,5.2276
900.0,-1.5171712e-05,-1.75915726e-05,2.4198606e-06,1.1645417,1.01963,0.27589,1.96113,1.17426,0.0,4.78666
