lambda,qEXT,qSCA,qABS,eSQU
593.0,0.00094624648,0.00015273934999999995,0.0007935071300000001,7.0976024
595.0,0.0008966589900000002,0.0001462617800000003,0.0007503972099999999,6.9236387000000015
597.0,0.000850741,0.00014014032,0.00071060068,6.7579680999999985
599.0,0.0008081555400000001,0.00013435149999999996,0.0006738040400000001,6.600044500000001
600.0,0.0007880164599999999,0.00013157486999999986,0.00065644159,6.523827099999999
601.0,0.0007686000099999999,0.00012887157999999987,0.00063972843,6.4492979
603.0,0.00073180216,0.00012367988000000008,0.00060812228,6.3051535
605.0,0.0006975279700000001,0.00011875626000000018,0.0005787717099999999,6.1670621
607.0,0.00066558027,0.00011408144000000001,0.00055149883,6.0345105000000006
609.0,0.00063578816,0.00010963862999999999,0.00052614953,5.907046
610.0,0.0006216563799999999,0.00010749992000000006,0.0005141564599999999,5.8450934000000005
611.0,0.00060801122,0.00010541279999999999,0.00050259842,5.7842709
613.0,0.00058212651,0.00010138938000000001,0.00048073713,5.6658529
615.0,0.00055802539,9.755431000000003e-05,0.00046047108,5.5515085
617.0,0.00053553161,9.390926999999994e-05,0.00044162234,5.4416544999999985
619.0,0.00051388602,9.053907999999989e-05,0.0004233469400000001,5.3409548
620.0,0.0005036024500000001,8.890742000000005e-05,0.00041469503,5.2917066
621.0,0.00049366545,8.730917999999997e-05,0.00040635627,5.2431791
623.0,0.000474794,8.421057000000003e-05,0.00039058343,5.1482032
625.0,0.0004571996900000001,8.123656999999999e-05,0.0003759631200000001,5.0559211
627.0,0.00044081376,7.838075e-05,0.00036243301,4.9662254
629.0,0.0004255704,7.563513999999999e-05,0.00034993526,4.8790087
630.0,0.00041835734,7.430250000000006e-05,0.00034405483999999995,4.8362974
631.0,0.00041140685,7.299515999999997e-05,0.00033841169,4.7941649
633.0,0.0003982665,7.045537999999997e-05,0.00032781112,4.7115739
635.0,0.0003860963,6.800855999999997e-05,0.00031808774,4.6311176
637.0,0.00037484875,6.565101999999999e-05,0.00030919773,4.5526727
639.0,0.00036448074,6.337688999999999e-05,0.00030110385,4.4761210999999985
640.0,0.00035961457,6.227028000000003e-05,0.00029734429,4.4385187
641.0,0.0003549542,6.118289999999999e-05,0.0002937713,4.4013451
643.0,0.00034623492,5.9064510000000024e-05,0.00028717041,4.3282382
645.0,0.00033829372000000003,5.7016399999999985e-05,0.00028127732000000005,4.256712
647.0,0.00033110354,5.503727999999999e-05,0.00027606626,4.1866722
649.0,0.000324644,5.3122680000000004e-05,0.00027152132,4.1180534
650.0,0.00032168225,5.218837999999994e-05,0.00026949387000000004,4.0842619
651.0,0.0003188964,5.126746000000003e-05,0.00026762894,4.0508145
653.0,0.00031384578,4.947077000000004e-05,0.00026437501,3.9849002
655.0,0.00030947811,4.7728699999999996e-05,0.00026174941,3.9202731
657.0,0.00030578252000000003,4.603889e-05,0.00025974363,3.8568907
659.0,0.00030275064,4.4398030000000006e-05,0.00025835261,3.794698200000001
660.0,0.0003017953,4.359667999999996e-05,0.00025819862,3.7639332
661.0,0.00030131545,4.2809430000000006e-05,0.00025850602,3.7332872
663.0,0.00030082475,4.126670999999996e-05,0.00025955804,3.6726487
665.0,0.00030096884,3.9763419999999953e-05,0.00026120542000000003,3.6127909
667.0,0.00030176944,3.829874e-05,0.0002634707,3.5536223
669.0,0.00030324644,3.686923999999999e-05,0.0002663772,3.4950482000000003
670.0,0.00030425018,3.6168109999999937e-05,0.00026808207000000004,3.4659492
671.0,0.00030543437000000003,3.547348000000004e-05,0.00026996089,3.4369783
673.0,0.00030837793,3.411054000000002e-05,0.00027426739,3.3793547
675.0,0.00031213798,3.277849000000001e-05,0.00027935949,3.3221818
680.0,0.00032559546000000003,2.9569670000000048e-05,0.00029602579,3.1814516
690.0,0.00037257223,2.380142999999996e-05,0.00034877080000000004,2.9239291
700.0,0.00046842068,1.8752109999999966e-05,0.00044966857,2.7103033
710.0,0.00065253712,1.5125919999999958e-05,0.0006374112,2.6282763
720.0,0.0010588654,1.573929999999996e-05,0.0010431261,3.0134775
730.0,0.0018150019,3.089629999999998e-05,0.0017841056,4.8991868
740.0,0.0024327526,6.312529999999992e-05,0.0023696273,8.4398787
750.0,0.0021193054000000003,8.200160000000015e-05,0.0020373038,10.437975
760.0,0.0014269145999999998,7.553149999999973e-05,0.0013513831,9.7799426
770.0,0.00091899415,6.294254999999994e-05,0.0008560516,8.503509900000001
780.0,0.00062427845,5.229917999999994e-05,0.00057197927,7.4610308
790.0,0.00045146922,4.4304320000000024e-05,0.0004071649,6.7031885
800.0,0.0003438207700000001,3.8289470000000127e-05,0.0003055313,6.146708900000001
810.0,0.0002723727,3.3631350000000015e-05,0.00023874135,5.7254899
820.0,0.00022246062,2.991672e-05,0.0001925439,5.3965655
830.0,0.00018452549,2.6865539999999978e-05,0.00015765995000000002,5.1329415
840.0,0.00015665179,2.4326549999999995e-05,0.00013232524,4.9167999
850.0,0.00013565179,2.217562e-05,0.00011347617,4.7364444
860.0,0.00011946737,2.0331212e-05,9.9136158e-05,4.5838542
870.0,0.00010679688,1.8734650000000005e-05,8.806223e-05,4.453353599999999
880.0,9.6679192e-05,1.7330646000000006e-05,7.9348546e-05,4.3401377
890.0,8.86161e-05,1.6092111999999994e-05,7.2523988e-05,4.241428
900.0,8.2934493e-05,1.5002063999999991e-05,6.7932429e-05,4.1560286
910.0,7.8335501e-05,1.4026252e-05,6.4309249e-05,4.0797241
920.0,7.437281200000001e-05,1.3145212000000004e-05,6.12276e-05,4.0108046
930.0,7.0899068e-05,1.2342074999999997e-05,5.8556993e-05,3.9487042
940.0,6.7805424e-05,1.1612521000000009e-05,5.6192903e-05,3.8927302
950.0,6.5003754e-05,1.0946207e-05,5.4057547e-05,3.841827
960.0,6.238836100000001e-05,1.033535400000001e-05,5.2053007e-05,3.7947969
970.0,5.9828307e-05,9.774335999999997e-06,5.0053971e-05,3.7503204
980.0,5.7284566e-05,9.256075999999995e-06,4.802849e-05,3.7075381
990.0,5.4693706e-05,8.773670999999994e-06,4.5920035e-05,3.666523600000001
